ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,11.73075165,3089,47180.85106,46894.23351,3089.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2952.72,8.0,32.70611504,1987,47180.85106,46894.23351,1987.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,0.0,8.0,na,609,47180.85106,46894.23351,609.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2187.2,8.0,12.582297,1912,47180.85106,46894.23351,1912.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2187.2,8.0,13.58814923,1890,47180.85106,46894.23351,1890.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3007.4,8.0,75.69328988,545,47180.85106,46894.23351,731.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2952.72,8.0,84.04860603,308,47180.85106,46894.23351,471.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2405.92,8.0,85.78506351,166,47180.85106,46894.23351,342.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2996.464,8.0,73.23511979,618,47180.85106,46894.23351,802.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2296.56,8.0,84.15020727,189,47180.85106,46894.23351,364.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,2734.0,8.0,94.0380395,0,47180.85106,46894.23351,163.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3494.052,8.0,13.13809869,3035,47180.85106,46894.23351,3035.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,3499.52,8.0,11.67360095,3091,47180.85106,46894.23351,3091.0,0,0,40,40,120,90
13173-1,June,40x40/120x90,44350,6.0,215351.712,8.0,22.71480061,TOTAL,47180.85106,46894.23351,166435.0,1182,172922,40,40,120,90
13129-1,June,40x40/120x90,6780,7.0,2110.648,9.1,12.2544356,1852,7290.322581,7333.720606,1852.0,0,0,40,40,120,90
13129-1,June,40x40/120x90,6780,7.0,809.264,9.1,10.28885506,726,7290.322581,7333.720606,726.0,0,0,40,40,120,90
